Claim_Amount,Policy_Age_Days,Num_Previous_Claims,Days_To_Report,Fraud
6715.32,3019,3,4,0
4680.12,1056,1,19,0
4961.97,2162,2,22,0
2994.94,2405,1,10,0
4962.97,2893,0,36,0
4422.68,1503,1,21,0
5645.44,2531,3,57,0
3345.54,1977,1,3,0
6038.69,2706,1,28,0
8065.48,3322,1,43,0
4782.48,1207,0,33,0
5803.42,694,1,12,0
6380.29,41,1,41,0
4197.56,1186,0,8,0
5448.18,333,1,41,0
5025.18,3394,0,30,0
5195.35,3052,1,6,0
3453.98,3401,1,3,0
5049.02,1793,0,18,0
5996.0,2860,1,41,0
7902.29,72,0,29,0
6918.54,973,0,30,0
9306.36,2420,0,34,0
3465.3,1379,1,56,0
6744.64,2575,2,20,0
5366.68,2441,1,30,0
9379.61,920,1,18,0
3383.4,2504,1,30,0
3320.56,1034,1,52,0
3801.21,50,1,31,0
752.21,436,0,1,0
3948.49,2696,3,58,0
3481.73,1044,2,51,0
5300.79,365,0,9,0
5683.51,1868,2,1,0
8752.34,3218,0,1,0
6900.85,1177,2,59,0
3846.19,2476,1,23,0
3203.17,2870,1,16,0
5983.84,1857,0,31,0
2359.53,744,1,15,0
8662.92,80,2,15,1
7358.88,353,1,45,0
4061.65,818,1,38,0
1573.73,170,2,52,0
7707.74,499,0,30,0
4770.92,816,2,42,0
7475.63,1855,1,23,0
1811.14,1387,1,0,0
3801.25,1946,1,10,0
5010.49,993,0,54,0
5093.96,3085,0,20,0
4099.87,402,0,3,0
6245.7,2571,1,6,0
2864.76,3640,1,25,0
4715.24,1722,1,46,0
5240.59,2828,0,49,0
6028.88,1209,0,11,0
6423.23,2368,1,30,0
2750.72,1701,1,16,0
1931.77,3245,1,32,0
7555.35,135,2,10,0
5664.63,1473,1,27,0
3503.03,2747,2,31,0
8102.3,1711,1,0,0
5231.35,31,0,46,0
7358.59,2666,2,27,0
5135.04,2721,0,52,0
9121.5,2167,0,41,0
8510.68,3446,0,6,0
4502.07,379,2,1,1
6943.14,3560,1,41,0
6290.75,1316,0,23,0
7737.26,3452,3,3,0
3070.15,3209,3,43,0
6372.1,1092,1,18,0
7116.85,2986,0,25,0
1482.52,2236,0,10,0
2633.48,3036,0,39,0
921.54,2389,1,49,0
4461.19,3342,1,42,0
6435.08,474,6,10,1
8004.71,2375,0,44,0
5148.19,981,0,2,0
8257.23,65,0,11,0
2239.8,1137,0,2,0
1593.24,1505,2,41,0
4888.9,1828,0,26,0
5768.13,1875,2,48,0
4934.61,1438,1,53,0
865.12,1225,0,1,0
4821.76,1429,1,48,0
2391.06,1738,2,15,0
6339.35,1415,0,1,1
5733.2,2636,0,59,0
3120.24,2968,0,53,0
3972.27,2218,1,29,0
2881.57,2964,0,19,0
4874.64,3219,2,37,0
6910.28,1330,1,27,0
3028.55,2803,0,24,0
6008.09,1273,0,31,0
3939.48,3127,2,9,0
3414.25,550,1,59,0
4785.94,1836,0,41,0
2929.52,39,1,39,0
3892.7,1013,0,32,0
2604.24,2455,4,12,0
8929.45,1686,1,55,0
5070.53,1690,5,40,0
3600.55,2759,1,53,0
5427.96,2661,0,41,0
4775.34,2229,2,46,0
4558.06,749,4,36,0
6228.33,1102,2,53,0
6515.02,3255,1,15,0
3939.0,888,0,44,0
3848.36,1346,2,21,0
4449.9,1633,2,56,0
396.16,79,0,19,0
1969.62,2741,0,49,0
7733.75,2608,0,42,0
8289.94,3161,1,26,0
4501.93,3268,1,40,0
6153.11,3303,0,15,0
5622.5,2934,2,33,0
11157.76,175,1,31,0
7239.15,944,1,25,0
4744.16,3070,0,24,0
3088.92,1492,0,1,0
1787.11,2319,1,11,0
5406.93,610,1,39,0
3487.3,2764,1,8,0
2155.49,1614,1,11,0
3706.85,512,3,25,1
2836.9,3209,1,8,0
8374.28,1279,1,9,1
6763.28,702,1,31,0
4984.05,660,0,56,0
7959.89,2738,1,33,0
5154.74,691,1,47,0
3277.43,3533,0,19,0
8046.25,2882,0,38,1
6077.82,2496,0,59,0
2925.51,1017,1,1,0
4619.32,3556,2,0,1
3248.76,3261,1,50,0
2234.4,1576,1,59,0
6852.36,679,0,35,0
8818.83,998,3,23,0
2202.86,2667,2,53,0
6125.94,1130,0,26,0
3698.71,2586,1,1,0
4025.75,470,0,30,0
3815.21,3355,1,56,0
3272.02,950,0,13,0
5097.04,799,0,1,0
3338.1,1373,2,28,0
5540.91,1856,2,14,0
4899.52,292,2,11,0
4522.1,1607,0,36,0
3184.87,3475,2,27,0
3846.46,2714,1,19,0
6510.78,3268,0,38,0
6001.83,2536,1,23,0
3044.89,1028,1,20,0
5198.66,3381,0,9,0
6502.77,729,1,45,0
1661.19,2379,0,13,0
6086.72,3632,0,36,0
3674.75,1633,0,17,0
6141.2,1271,0,23,0
3473.48,1155,2,13,0
1390.24,2631,3,33,0
1744.92,2365,0,57,0
5096.17,1220,0,11,0
5519.45,2698,2,21,0
3191.37,1035,1,55,0
6277.18,65,3,5,0
1676.96,773,2,35,0
4867.84,1794,2,44,0
2577.97,382,3,35,0
3696.33,1952,0,21,0
5094.8,102,1,13,1
3279.17,2725,2,15,0
4230.89,1406,1,35,0
7012.59,1944,1,55,0
3846.22,1123,3,24,0
6671.38,2502,4,31,1
2740.59,3076,1,32,0
6059.61,737,0,44,0
7883.14,1834,0,35,0
56.71,2638,4,19,1
3406.21,2905,2,17,0
6154.14,985,0,37,0
4593.91,2594,2,2,0
5742.29,2505,0,22,0
3792.03,3640,1,31,0
5173.18,189,2,44,0
4688.65,2226,0,58,0
7335.56,2853,2,15,0
5508.84,3331,1,58,0
5675.21,1765,1,4,0
4176.25,1615,1,3,0
4024.79,96,2,20,1
4134.88,3091,0,39,0
5788.9,2458,1,50,0
4158.03,87,0,13,1
5579.55,3360,0,38,0
9150.8,371,3,30,1
6742.25,1183,1,13,0
4347.95,2804,2,5,0
7402.43,1225,1,11,0
4183.85,2847,1,15,0
923.75,2691,0,16,0
2983.83,1262,0,44,0
1258.42,2431,1,22,0
4296.97,1524,1,13,0
5036.84,1851,0,6,0
8352.87,145,1,45,0
5653.85,3365,1,31,0
4561.8,691,0,14,0
6658.81,1495,0,43,0
577.73,3649,1,16,0
5471.23,2530,2,40,0
6541.73,1898,0,53,0
2042.83,3578,1,46,0
7287.51,2364,0,43,0
5676.99,3404,0,33,0
4169.42,1046,0,4,0
6265.56,340,2,44,0
9541.39,237,1,26,1
5363.73,2695,1,51,0
5496.44,2523,1,22,0
4081.28,2747,1,39,0
3300.31,662,0,58,0
6660.67,2132,1,13,0
3287.83,2989,0,14,0
5143.13,3113,1,42,0
4044.69,686,0,32,0
5957.96,1453,3,52,0
5667.32,1961,0,30,0
7075.08,3057,1,34,0
3979.97,2592,0,16,0
4460.25,1709,2,27,0
3042.47,3643,0,18,0
4111.41,266,0,45,0
5754.6,3380,1,53,0
6513.98,377,2,22,0
3155.67,2704,0,31,0
6739.21,3205,0,39,0
7711.28,659,3,12,1
5826.87,1570,0,58,0
8753.59,2033,3,19,1
3452.42,1301,2,34,0
2510.69,393,1,4,0
1442.56,2398,1,8,0
7992.09,315,2,28,0
6308.73,178,1,5,0
4888.83,1137,2,24,0
5559.94,2483,0,30,0
2749.02,3055,1,21,0
9891.5,485,2,1,0
5258.44,1796,0,44,0
5218.79,829,1,4,0
6451.53,1214,0,59,0
5962.02,1042,1,26,0
5447.77,2861,1,24,0
3419.05,2537,1,7,0
5942.94,1553,0,54,0
8764.05,2815,2,0,1
7690.84,2586,0,19,0
8186.37,510,0,43,1
3977.57,1716,0,22,0
3020.79,2191,0,31,0
4748.43,2826,0,10,0
5111.45,1631,1,38,0
7188.38,2438,2,46,0
1615.07,370,5,53,0
8059.1,2847,0,23,1
4683.98,2040,2,10,0
4146.24,2838,1,28,0
2975.79,3046,1,53,0
1690.29,2526,1,25,0
6646.34,1896,0,15,0
5146.64,864,1,34,0
2420.08,1233,2,19,0
2409.84,1755,1,45,0
4328.43,3508,1,2,0
8338.04,1719,1,0,0
4480.82,3297,1,57,0
1993.71,3567,1,52,0
4508.51,340,1,46,0
4454.55,291,0,0,0
-393.77,1472,1,16,0
4891.41,435,2,1,0
4538.13,2220,1,28,0
6392.41,371,1,19,0
8697.91,1369,0,5,0
7253.13,3202,0,7,0
4462.22,273,0,28,0
2786.95,519,0,47,0
10146.72,41,3,50,1
5118.44,3340,0,32,0
5027.86,590,0,2,0
4951.75,71,0,59,0
5396.17,2755,0,34,0
4711.28,623,1,4,0
3852.68,1482,0,26,0
3906.28,1856,0,43,0
4934.49,3259,2,11,0
3913.15,3317,2,19,0
3574.31,1723,0,44,0
5212.86,3563,3,19,0
4490.05,163,1,8,0
8007.99,3168,1,38,0
-301.94,3108,4,3,0
7183.01,977,1,50,0
7492.17,3627,0,53,0
853.22,102,1,18,0
4314.62,428,1,37,0
4257.12,1458,0,26,0
2184.98,2655,0,44,0
3444.37,2936,0,42,0
2778.85,159,2,12,0
8504.54,3008,0,12,0
6871.36,3567,0,59,0
7543.11,3307,0,56,0
6443.34,1841,0,21,0
2741.9,2031,1,27,0
3950.96,295,0,51,0
5978.75,1590,0,46,0
2555.74,2015,0,52,0
6426.0,822,1,44,0
4519.35,2330,0,21,0
4250.36,2899,0,42,0
6421.92,1342,1,18,0
5888.53,193,0,7,0
4278.07,124,2,51,0
7318.66,1835,1,7,0
2837.87,2910,2,41,0
6231.87,1163,0,25,0
6186.2,2413,1,47,0
4380.91,851,2,50,0
5652.27,267,0,25,0
2497.77,2458,1,22,0
6848.05,3537,0,42,0
4630.2,2976,0,12,0
3954.55,2560,1,27,0
7098.02,1990,1,8,0
3591.31,2979,0,19,0
2183.08,1078,1,55,0
1886.74,1706,0,18,0
6212.02,3218,1,47,0
2439.14,2559,1,38,0
8509.59,3493,2,50,1
836.14,2994,0,11,0
8392.91,3071,2,14,0
5422.03,993,2,30,0
4806.57,566,0,54,0
3910.16,3180,1,13,0
5798.27,1633,0,10,0
4924.73,3274,2,25,0
7206.6,2009,0,41,0
5228.46,3113,1,26,0
5300.6,157,1,10,0
4272.78,121,0,37,1
4886.11,572,1,33,0
5615.6,875,2,42,0
1579.66,3633,1,18,0
2303.63,1711,1,5,0
6486.53,3066,2,45,0
5341.73,1881,0,51,0
4632.03,2524,0,37,0
5036.87,419,0,48,0
5695.16,2749,1,41,0
3920.48,1914,1,27,0
3443.39,72,2,0,0
5391.69,283,0,34,0
3043.25,3231,0,39,0
5816.51,1113,1,7,0
1594.83,2740,0,58,0
7058.31,2544,2,51,0
5945.19,2364,0,53,0
5512.06,3088,2,46,0
6965.38,1570,2,55,0
8330.95,3568,0,6,0
7028.74,1983,2,10,0
1318.25,2855,0,38,0
2440.85,2422,0,3,0
3750.36,671,4,24,0
5052.18,2459,2,11,0
6035.32,719,1,25,0
3548.51,1306,1,37,0
5373.53,1980,0,45,0
3489.23,1109,0,11,0
3776.96,1516,0,42,0
2186.68,486,0,50,0
3153.53,1012,0,52,0
2296.63,2160,2,36,0
3048.25,1152,0,45,0
7107.28,178,0,52,0
3101.2,1382,1,23,0
10264.76,1209,3,15,1
5986.64,219,1,56,0
5369.67,3595,2,12,0
3283.28,912,0,24,0
6400.62,2340,0,53,0
3848.72,3181,1,53,0
5244.02,429,1,56,0
10120.17,2841,3,51,1
4807.88,638,0,53,0
7298.55,3361,0,3,0
3593.65,1825,1,10,0
4930.02,1668,1,31,0
8541.6,1605,0,48,0
3746.07,2862,0,6,0
8624.9,2178,1,45,0
6415.5,1412,1,57,0
3875.07,1433,1,10,0
6264.82,849,2,27,0
6945.11,3322,4,53,0
6243.62,849,1,40,0
1859.55,449,0,22,0
3545.73,153,1,44,0
4504.96,451,4,22,0
4851.13,3332,0,49,0
6241.34,3164,1,27,0
5355.4,1538,0,42,0
2329.31,1627,0,46,0
5760.4,797,2,56,0
6221.17,2074,1,25,0
6119.58,2560,0,24,0
7161.56,2596,2,53,0
6667.84,2232,0,28,0
5918.36,2169,2,18,0
4859.67,3059,2,32,0
1678.08,1579,3,35,1
5859.24,2532,1,13,0
5415.38,1794,0,13,0
5543.16,2074,3,34,0
2446.5,2675,1,29,0
2837.89,539,4,27,0
7106.31,1236,1,16,0
4920.89,415,1,2,0
6363.0,1627,1,15,0
5056.64,2482,1,45,0
5059.51,2323,1,29,0
6876.57,771,2,51,0
3967.91,2738,0,28,0
5192.24,2727,2,44,0
4075.45,3572,1,14,0
4131.01,1941,2,45,0
4381.66,1476,0,55,0
5444.27,930,2,24,0
4042.5,2142,3,50,0
7511.51,3114,1,37,0
3210.79,2290,0,41,0
4626.26,2039,1,58,0
4120.54,271,2,46,0
7893.96,2570,0,52,0
5393.11,3314,0,53,0
7063.69,2415,0,51,0
2028.88,2050,1,57,0
5534.1,202,3,37,0
6779.26,701,0,22,0
5164.57,193,2,24,0
7130.96,494,1,41,0
3965.42,3072,2,6,0
7818.69,526,3,21,1
9597.8,729,1,16,0
4274.32,2472,0,17,0
4108.99,732,0,48,0
7906.77,1970,4,40,0
8159.14,2385,1,9,0
3954.28,1821,0,9,0
4159.63,212,0,56,0
4436.43,658,1,6,0
2311.1,2587,0,47,0
3162.7,1761,0,49,0
2991.72,575,0,37,0
3464.4,1617,3,26,0
4930.63,653,0,51,0
5468.43,623,1,32,0
8101.0,773,0,0,0
3003.29,3328,0,43,0
6968.64,1798,0,52,0
4572.02,1489,0,59,0
4901.07,1978,0,33,0
6349.64,3523,1,3,0
2754.56,2631,0,16,0
5764.82,2098,1,3,0
5332.9,2631,0,42,0
5984.9,2474,1,53,0
5578.34,2702,0,25,0
9910.6,134,1,3,0
3724.52,2269,2,0,0
3938.01,46,1,6,0
3753.72,3221,0,29,0
3889.05,422,1,49,0
3725.23,454,1,8,0
7378.03,2206,1,34,0
7841.01,3231,1,7,0
3858.51,601,1,23,0
3335.29,2106,2,18,0
5942.83,1150,2,35,0
3895.55,3111,4,49,0
6265.86,271,0,51,0
5405.85,2309,1,58,0
1968.51,818,1,42,0
8095.01,3385,1,26,0
8591.76,744,1,31,1
3774.42,788,0,13,0
4224.6,2879,1,56,0
5571.73,805,0,17,0
5668.91,2803,0,27,0
6317.09,2277,1,59,0
9020.41,3022,1,28,0
4646.11,108,1,15,0
3403.41,3033,0,34,0
2241.36,885,1,46,0
3538.14,3274,1,58,0
4933.75,2544,1,58,0
8589.12,2658,0,30,0
3964.78,1469,0,3,0
5447.58,3017,0,36,0
4967.15,2526,1,16,0
7376.79,2164,3,38,1
10053.86,2178,1,47,1
3938.26,1061,0,45,0
4021.12,874,0,25,0
7088.32,3301,3,47,1
6363.78,3606,1,38,0
8693.41,116,0,40,0
6167.86,2120,1,3,0
4281.42,3486,0,29,0
6181.31,3536,0,29,0
7217.41,437,3,21,0
6640.96,3584,0,10,0
6014.55,2741,1,1,0
7133.35,3118,0,43,0
7338.59,1698,2,11,0
7764.32,177,0,29,0
6297.42,2354,0,35,0
4665.76,261,0,17,0
5293.43,1980,2,25,0
7413.02,395,1,52,0
3366.13,3329,1,6,0
5737.35,1704,3,0,1
4213.32,465,1,57,0
5057.49,428,0,25,0
7556.9,1264,0,22,0
5382.2,1444,0,25,0
5092.87,2576,1,44,0
2280.29,2617,2,5,0
6492.51,592,0,5,0
6290.97,3592,0,43,0
9326.51,2519,1,7,1
4384.44,1314,1,23,0
5438.3,802,0,21,0
5498.77,2427,1,18,0
8154.91,2067,0,36,0
4809.41,3453,1,17,0
5558.04,2597,1,30,0
6215.79,1373,0,36,0
5373.22,2215,1,29,0
4107.13,1603,1,56,0
5388.18,1021,0,41,0
7147.26,2445,1,32,0
2946.97,3321,2,9,0
5265.94,3438,1,36,0
3599.76,1276,0,11,0
7390.09,389,2,53,0
1953.63,950,0,29,0
3882.16,2406,0,26,0
5754.42,3039,0,38,0
8131.05,2540,3,8,1
4868.5,3023,2,53,0
3889.6,992,4,20,1
8762.31,1857,0,11,0
2103.97,3483,1,54,0
602.39,2913,2,28,0
5880.03,1643,1,32,0
3995.89,1670,0,42,0
2957.53,2246,0,52,0
6416.71,246,1,14,0
5487.6,407,0,1,0
3871.84,148,2,51,1
2439.39,219,1,38,0
6744.91,2844,0,52,0
6300.4,399,0,43,0
4801.65,1831,0,53,0
8693.27,2226,1,17,1
2859.83,681,2,2,0
1948.95,1912,0,6,0
3616.18,1541,1,42,0
4908.83,799,2,17,0
5486.68,2451,3,43,1
4517.53,810,0,37,0
5704.11,1746,0,36,0
2496.92,2237,1,57,0
7887.53,2428,1,32,0
4835.7,1341,2,43,0
7234.59,3389,1,58,0
5685.45,2969,0,30,0
5913.51,1279,0,57,0
6139.53,552,0,10,0
5895.42,551,1,3,0
6285.45,812,0,58,0
7658.31,2350,2,17,0
5393.04,965,1,3,0
6418.01,3503,1,48,0
4820.53,2260,0,33,0
7880.23,1718,0,28,0
3647.22,517,2,23,0
8601.88,1880,4,21,1
4919.68,875,2,1,0
2138.45,2201,0,43,0
5256.21,3062,0,5,0
3637.9,2867,2,41,0
6681.29,2491,1,24,0
3694.75,2033,0,54,0
4107.63,1778,1,56,0
1220.92,3273,0,20,0
4095.39,3389,2,54,0
152.24,3536,1,58,0
1832.19,715,0,15,0
6520.83,2190,0,30,0
6571.6,2965,1,13,0
5850.92,2199,3,38,0
3066.05,1597,2,27,0
4904.58,1275,0,31,0
4992.79,68,0,27,0
2683.27,2574,1,50,0
8006.8,809,0,54,1
6754.72,1286,1,48,0
4558.07,3020,1,8,0
5053.77,3631,2,57,0
5416.77,2226,0,44,0
916.53,3498,0,21,0
4505.65,3099,1,31,0
3636.03,2738,0,4,0
2996.76,1957,0,22,0
4437.8,331,1,4,0
8595.37,3461,1,41,0
6281.69,2315,1,52,0
3857.64,676,1,31,0
6145.17,692,1,58,0
